phylostrata	ps_name	func_term	quant	sample	hit	total	odds_sample	odds_rest	real_log_odds	CDFHyper	CDFHyperOver	raw_p_value	raw_p_value_map	niz	FDR_p_value	for_map_p_value	Bonferroni_p_value	for_map_p_value_bon
1	Cellular organisms	disease_genes	970	8285	1760	22845	0.132604237867396	0.0573710965867829	0.837828404304837	1	2.21679753058749e-63	4.43359506117498e-63	<0.001	1	8.42383061623246e-62	<0.001	8.42383061623246e-62	<0.001
2	Eukaryota	disease_genes	357	5633	1760	22845	0.0676648976497346	0.0887469163134923	-0.271221135063839	3.63461307155856e-06	0.999997261688013	7.26922614311712e-06	<0.001	5	2.76230593438451e-05	<0.001	0.000138115296719225	<0.001
3	Opisthokonta	disease_genes	39	600	1760	22845	0.0695187165775401	0.0838530500877022	-0.187469843542734	0.147792271114233	0.886672870647954	0.295584542228466	ns	17	0.330359194255344	ns	5.61610630234085	ns
4	Holozoa	disease_genes	32	321	1760	22845	0.110726643598616	0.0830929024812464	0.2871052048269	0.944829600536364	0.0804856522724299	0.16097130454486	ns	11	0.278041344213849	ns	3.05845478635234	ns
5	Metazoa	disease_genes	52	382	1760	22845	0.157575757575758	0.0822934232715008	0.649615150259525	0.99997812823868	4.35922007474861e-05	8.71844014949721e-05	<0.001	7	0.000236643375486353	<0.001	0.00165650362840447	<0.01
6	Eumetazoa	disease_genes	122	2007	1760	22845	0.0647214854111406	0.0853125	-0.276227761545996	0.00190358743455774	0.998592690660171	0.00380717486911549	<0.01	9	0.00803736916813269	<0.01	0.0723363225131942	ns
7	Bilateria	disease_genes	58	868	1760	22845	0.0716049382716049	0.0839457459926017	-0.159006667269771	0.13782747434239	0.889784464432707	0.275654948684779	ns	15	0.34916293500072	ns	5.2374440250108	ns
8	Deuterostomia	disease_genes	4	93	1760	22845	0.0449438202247191	0.083634978091065	-0.621048560435121	0.147321274174939	0.93445926923691	0.294642548349878	ns	16	0.349888026165481	ns	5.59820841864769	ns
9	Chordata	disease_genes	13	244	1760	22845	0.0562770562770563	0.0837728972858924	-0.397822607844775	0.0959016923575305	0.942308440804473	0.191803384715061	ns	13	0.28032802381432	ns	3.64426430958616	ns
10	Olfactores	disease_genes	4	79	1760	22845	0.0533333333333333	0.0835792479771537	-0.449233732772436	0.262354923167047	0.867158858069953	0.524709846334095	ns	18	0.553860393352655	ns	9.9694870803478	ns
11	Craniata	disease_genes	34	588	1760	22845	0.0613718411552347	0.084067994739662	-0.314674815741731	0.0411844776253805	0.97177792103775	0.082368955250761	ns	10	0.156501014976446	ns	1.56501014976446	ns
12	Euteleostomi	disease_genes	44	580	1760	22845	0.082089552238806	0.0835077132707188	-0.0171282502605781	0.496883809405181	0.565987840397435	0.993767618810362	ns	19	0.993767618810362	ns	18.8815847573969	ns
13	Tetrapoda	disease_genes	4	106	1760	22845	0.0392156862745098	0.0836867940713911	-0.758004361304747	0.0814635120539872	0.967498276994564	0.162927024107974	ns	12	0.25796778817096	ns	3.09561345805152	ns
14	Amniota	disease_genes	8	157	1760	22845	0.0536912751677852	0.0836836071837982	-0.443792591551978	0.13771296905635	0.923619586911382	0.2754259381127	ns	14	0.373792344581521	ns	5.2330928241413	ns
15	Mammalia	disease_genes	8	335	1760	22845	0.0244648318042813	0.0844011947201079	-1.23834490718852	2.31731841457301e-05	0.999993614023091	4.63463682914603e-05	<0.001	6	0.000146763499589624	<0.001	0.000880580997537745	<0.001
16	Eutheria	disease_genes	8	830	1760	22845	0.0097323600973236	0.0864630114000888	-2.18426028300735	6.7422624438546e-20	1	1.34845248877092e-19	<0.001	3	8.54019909554916e-19	<0.001	2.56205972866475e-18	<0.001
17	Boreoeutheria	disease_genes	1	285	1760	22845	0.00352112676056338	0.0845632421518196	-3.17871864144194	2.58306815774514e-09	0.999999999897147	5.16613631549028e-09	<0.001	4	2.45391474985788e-08	<0.001	9.81565899943153e-08	<0.001
18	Euarchontoglires	disease_genes	1	124	1760	22845	0.00813008130081301	0.0839137486881023	-2.33421854637985	0.000534328297983965	0.999953175183392	0.00106865659596793	<0.01	8	0.00253805941542383	<0.01	0.0203044753233907	<0.05
19	Primates	disease_genes	1	1328	1760	22845	0.000753579502637528	0.0890272294766677	-4.77186302746535	2.40758388844521e-46	1	4.81516777689042e-46	<0.001	2	4.5744093880459e-45	<0.001	9.1488187760918e-45	<0.001
